,id,emp_length Encoded,home_ownership Encoded,purpose Encoded,addr_state Encoded,loan_amnt,funded_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,mths_since_last_delinq,open_acc,mths_since_first_cr_line,term,revol_bal,total_acc,out_prncp
6410,6528418,1,0,2,37,8975.0,8975.0,17.56,322.5,82000.0,7.92,0.0,26.0,18.0,235.5,36.0,12089.0,26.0,7576.64
6411,6528872,1,4,2,4,9000.0,9000.0,11.55,297.0,64480.0,21.92,0.0,0.0,7.0,406.4,36.0,16699.0,12.0,7486.52
6412,6529394,0,4,2,12,15000.0,15000.0,9.71,481.97,80000.0,16.25,0.0,0.0,8.0,269.8,36.0,19499.0,22.0,12792.19
6413,6529910,1,4,2,4,1500.0,1500.0,14.33,51.51,41000.0,12.12,0.0,0.0,10.0,332.5,36.0,10664.0,11.0,1256.22
6414,6530350,1,0,1,4,12500.0,12500.0,17.56,314.44,38000.0,13.11,0.0,37.0,14.0,419.4,60.0,6821.0,34.0,11537.92
6415,6531245,2,0,2,11,15000.0,15000.0,12.35,336.33,50000.0,12.63,0.0,37.0,11.0,261.4,60.0,14513.0,22.0,13879.79
6416,6531665,1,4,1,6,26500.0,26500.0,19.52,695.03,60000.0,17.46,0.0,31.0,15.0,304.4,60.0,26225.0,34.0,24852.96
6417,6532500,0,0,2,23,11000.0,11000.0,15.22,382.51,160000.0,26.29,0.0,30.0,15.0,298.4,36.0,31189.0,29.0,9497.97
6418,6533025,1,0,2,12,17050.0,17050.0,15.88,413.54,38000.0,31.61,0.0,30.0,6.0,405.3,60.0,21131.0,13.0,15907.9
6419,6533465,2,0,1,28,8000.0,8000.0,12.35,267.06,48000.0,14.65,0.0,0.0,20.0,217.3,36.0,8910.0,43.0,6666.85
6420,6533839,1,3,8,9,12000.0,12000.0,17.56,301.86,54000.0,24.05,0.0,33.0,11.0,358.3,60.0,36244.0,28.0,11083.16
6421,6534908,4,4,2,28,8000.0,8000.0,15.22,278.19,58000.0,19.43,0.0,0.0,9.0,190.7,36.0,7752.0,17.0,6719.89
6423,6536330,1,0,0,36,16000.0,16000.0,15.22,382.49,97600.0,26.62,0.0,44.0,22.0,367.6,60.0,33986.0,50.0,14696.7
6425,6537167,5,4,1,31,17000.0,17000.0,19.52,627.64,53000.0,7.56,0.0,81.0,14.0,280.6,36.0,6714.0,28.0,231.47
6426,6537638,1,0,1,9,24375.0,24375.0,16.78,602.91,55000.0,15.95,0.0,36.0,5.0,288.6,60.0,31933.0,15.0,22468.24
6427,6538082,0,0,8,9,2000.0,2000.0,17.56,71.87,40560.0,26.63,1.0,14.0,15.0,446.6,36.0,17898.0,31.0,1688.55
6428,6538693,6,4,2,10,6000.0,6000.0,15.22,208.64,38922.0,15.97,0.0,0.0,8.0,191.5,36.0,8429.0,12.0,5184.07
6430,6539735,2,0,8,20,18250.0,18250.0,24.89,534.49,45780.0,15.52,0.0,27.0,16.0,271.5,60.0,17009.0,40.0,17087.99
6431,6540137,3,4,2,28,5000.0,5000.0,9.71,160.66,30000.0,8.02,0.0,0.0,10.0,166.4,36.0,4864.0,13.0,4139.58
6432,6540604,1,4,2,23,5500.0,5500.0,8.9,174.65,31000.0,13.94,0.0,26.0,6.0,468.4,36.0,1095.0,13.0,4543.71
6433,6541149,6,0,2,29,16000.0,16000.0,22.2,443.73,45000.0,17.36,0.0,0.0,10.0,246.4,60.0,13740.0,13.0,15071.73
6434,6541644,11,3,2,25,8575.0,8575.0,11.55,282.98,25000.0,29.42,1.0,8.0,15.0,509.4,36.0,5837.0,26.0,7133.32
6435,6542043,1,3,2,10,13475.0,13475.0,14.33,315.85,40749.0,19.82,0.0,48.0,9.0,412.4,60.0,10841.0,24.0,12350.81
6436,6542492,5,4,2,9,6250.0,6250.0,12.35,208.64,21961.0,13.16,0.0,0.0,5.0,210.0,36.0,9787.0,5.0,5210.35
6437,6542977,1,0,2,16,28000.0,28000.0,17.56,1006.1,81000.0,21.61,3.0,10.0,9.0,475.3,36.0,17929.0,25.0,24289.98
6438,6543482,9,0,3,4,20000.0,20000.0,21.15,542.76,87000.0,8.91,0.0,0.0,9.0,268.9,60.0,15917.0,18.0,18806.94
6439,6544789,1,0,1,15,12000.0,12000.0,15.22,286.87,41000.0,27.6,0.0,43.0,19.0,283.3,60.0,30216.0,42.0,11022.59
6440,6545304,2,0,2,28,6300.0,6300.0,9.71,202.43,52000.0,7.68,0.0,36.0,7.0,552.7,36.0,19702.0,17.0,5215.35
6441,6546813,5,4,2,27,2500.0,2500.0,7.62,77.91,40000.0,14.59,0.0,0.0,7.0,245.6,36.0,53.0,19.0,2057.39
6442,6547188,1,3,2,4,10000.0,10000.0,7.62,311.62,80000.0,12.02,0.0,0.0,11.0,556.6,36.0,14962.0,17.0,8492.53
6443,6547626,1,0,2,13,23000.0,23000.0,8.9,730.33,105000.0,10.91,0.0,0.0,9.0,431.6,36.0,49574.0,21.0,19001.0
6444,6548023,1,4,2,4,9450.0,9450.0,10.64,307.78,60000.0,7.68,0.0,0.0,10.0,459.6,36.0,4572.0,22.0,8078.5
6446,6548840,1,0,2,5,10000.0,10000.0,7.9,312.91,72000.0,4.37,0.0,37.0,8.0,523.5,36.0,13390.0,28.0,8235.93
6447,6549241,10,4,2,37,4800.0,4800.0,10.64,156.33,55000.0,15.93,0.0,70.0,12.0,363.5,36.0,8552.0,34.0,4102.77
6448,6549729,8,3,2,6,14400.0,14400.0,14.33,337.54,80000.0,21.69,0.0,0.0,17.0,291.5,60.0,16594.0,38.0,13198.58
6449,6550755,7,0,1,42,9450.0,9450.0,11.55,311.85,28000.0,12.3,0.0,0.0,6.0,234.4,36.0,12279.0,15.0,7862.16
6450,6551239,1,0,1,12,30000.0,30000.0,10.64,977.06,100000.0,14.98,0.0,0.0,7.0,299.4,36.0,29675.0,27.0,24897.27
6451,6551659,1,0,2,32,30000.0,30000.0,16.78,742.04,86000.0,15.92,0.0,39.0,8.0,276.4,60.0,19497.0,18.0,27645.27
6452,6552032,1,4,2,28,8000.0,8000.0,10.64,260.55,60000.0,11.99,0.0,0.0,5.0,240.4,36.0,6534.0,12.0,6636.85
6453,6552514,0,3,1,35,21000.0,21000.0,14.33,492.24,85000.0,27.92,0.0,0.0,6.0,277.3,60.0,31480.0,24.0,19507.41
6454,6552976,6,0,2,29,8000.0,8000.0,17.56,287.46,73000.0,17.21,2.0,14.0,8.0,270.3,36.0,7462.0,16.0,6754.62
6455,6553353,1,4,1,37,10000.0,10000.0,9.71,321.32,50000.0,15.02,1.0,18.0,7.0,456.3,36.0,4333.0,25.0,8275.77
6456,6554698,11,0,0,27,6000.0,6000.0,11.55,198.0,55680.0,11.66,0.0,0.0,13.0,261.7,36.0,11860.0,21.0,4991.31
6457,6555077,2,0,3,1,8000.0,8000.0,13.68,272.18,75000.0,1.73,0.0,29.0,7.0,219.7,36.0,2782.0,14.0,6689.1
6458,6564676,1,0,3,9,6000.0,6000.0,9.71,192.79,82000.0,8.73,1.0,13.0,11.0,388.6,36.0,9549.0,21.0,5116.86
6459,6565344,1,0,1,10,25000.0,25000.0,14.33,858.46,60000.0,6.66,2.0,7.0,3.0,298.6,36.0,10282.0,11.0,20939.87
6460,6565795,1,0,6,36,1600.0,1600.0,18.85,58.53,42000.0,26.43,0.0,0.0,10.0,261.7,36.0,9158.0,35.0,1355.13
6461,6566201,1,4,8,31,10625.0,10625.0,21.15,401.12,70000.0,15.03,2.0,11.0,11.0,277.6,36.0,7515.0,37.0,9048.67
6462,6566622,5,0,3,42,20000.0,20000.0,13.05,674.37,145000.0,9.52,0.0,0.0,10.0,258.6,36.0,14843.0,12.0,16696.66
6463,6567121,1,3,1,29,10400.0,10400.0,10.64,338.72,53000.0,30.09,1.0,14.0,10.0,444.6,36.0,5243.0,22.0,8631.13
6464,6567489,1,0,2,9,21250.0,21250.0,15.22,508.0,47777.6,23.79,0.0,43.0,12.0,390.6,60.0,28339.0,30.0,19518.33
6465,6568413,10,4,2,39,10500.0,10500.0,18.25,380.92,45000.0,19.33,0.0,31.0,16.0,296.4,36.0,16526.0,27.0,8880.67
6466,6568782,10,4,2,43,6075.0,6075.0,16.78,215.93,22080.0,17.57,0.0,0.0,15.0,263.5,36.0,1726.0,20.0,5118.99
6467,6569374,1,4,2,28,15000.0,15000.0,17.56,538.99,70000.0,26.62,2.0,8.0,14.0,270.5,36.0,10188.0,45.0,12663.74
6468,6569866,1,4,2,7,6500.0,6500.0,17.56,233.56,81600.0,30.31,0.0,0.0,22.0,313.4,36.0,43596.0,52.0,5487.96
6469,6570361,10,4,2,4,8400.0,8400.0,14.33,288.45,60000.0,11.12,0.0,0.0,11.0,241.7,36.0,14563.0,18.0,7237.15
6470,6570787,1,0,2,9,18000.0,18000.0,15.22,430.31,92000.0,17.19,0.0,0.0,7.0,230.4,60.0,16614.0,19.0,16535.13
6472,6571733,0,4,8,9,1500.0,1500.0,21.6,56.98,22000.0,6.6,0.0,0.0,2.0,238.4,36.0,6329.0,3.0,1311.83
6473,6572122,10,4,1,26,5000.0,5000.0,10.64,162.85,30000.0,10.64,0.0,0.0,7.0,264.4,36.0,10909.0,12.0,4149.86
6474,6572577,0,3,1,28,8000.0,8000.0,11.55,264.0,25000.0,11.09,0.0,0.0,7.0,350.3,36.0,7483.0,9.0,6654.11
6475,6572997,7,4,2,23,16000.0,16000.0,17.56,402.48,46200.0,25.66,0.0,41.0,9.0,232.3,60.0,8812.0,19.0,14769.0
6476,6573521,3,0,0,4,2500.0,2500.0,7.9,78.23,132000.0,4.91,0.0,25.0,14.0,484.3,36.0,11497.0,30.0,2058.96
6477,6574658,5,0,1,21,10000.0,10000.0,13.68,340.23,70000.0,23.73,0.0,0.0,22.0,229.7,36.0,18116.0,27.0,8603.46
6478,6575076,1,0,2,37,29175.0,29175.0,15.22,1014.51,65000.0,23.93,0.0,0.0,11.0,513.7,36.0,18960.0,33.0,24489.77
6479,6575957,11,0,1,39,10000.0,10000.0,11.55,330.0,35000.0,7.4,0.0,44.0,6.0,479.7,36.0,9429.0,29.0,8317.78
6480,6576227,1,0,1,9,15000.0,15000.0,12.35,500.73,150000.0,3.4,1.0,22.0,6.0,488.6,36.0,16933.0,11.0,12500.68
6481,6576629,5,4,2,4,12000.0,12000.0,17.56,431.19,50000.0,21.96,0.0,0.0,6.0,172.6,36.0,10536.0,7.0,10131.23
6482,6577000,2,0,2,36,18000.0,18000.0,9.71,578.37,66000.0,18.84,0.0,0.0,13.0,264.6,36.0,11074.0,43.0,14900.14
6483,6577935,0,4,1,38,20000.0,20000.0,16.78,494.69,58000.0,16.67,1.0,19.0,5.0,397.6,60.0,16249.0,30.0,18433.39
6484,6578301,11,0,2,13,5000.0,5000.0,9.71,160.66,36500.0,8.55,0.0,0.0,8.0,-512.0,36.0,4437.0,16.0,4139.53
6485,6578756,1,0,2,27,12000.0,12000.0,11.55,396.0,60000.0,24.59,0.0,0.0,17.0,587.5,36.0,12364.0,65.0,9978.89
6486,6579194,1,0,2,12,20000.0,20000.0,11.55,660.0,85000.0,16.01,0.0,27.0,15.0,294.5,36.0,20955.0,28.0,17128.94
6487,6579678,7,4,6,25,8875.0,8875.0,21.15,335.06,90000.0,21.3,0.0,0.0,20.0,205.5,36.0,17363.0,28.0,7756.59
6488,6580194,1,4,1,39,8000.0,8000.0,15.22,278.19,62000.0,13.45,0.0,0.0,8.0,342.9,36.0,6943.0,28.0,6907.35
6489,6580983,0,3,2,12,10200.0,10200.0,11.55,336.6,32000.0,9.58,0.0,0.0,9.0,178.4,36.0,9042.0,9.0,8482.62
6490,6581464,7,4,6,37,18000.0,18000.0,26.06,539.57,104000.0,17.89,0.0,0.0,14.0,245.4,60.0,13826.0,23.0,16911.2
6491,6581893,1,0,2,41,16000.0,16000.0,9.71,514.1,60000.0,16.46,0.0,0.0,6.0,305.4,36.0,13908.0,22.0,13245.17
6492,6582392,3,0,3,4,1800.0,1800.0,13.05,60.7,80000.0,34.76,0.0,0.0,16.0,295.4,36.0,27651.0,55.0,1503.19
6493,6582870,11,0,1,32,5875.0,5875.0,7.62,183.08,21000.0,18.12,0.0,0.0,8.0,523.3,36.0,14966.0,16.0,4988.98
6494,6583438,9,3,8,10,14000.0,14000.0,14.33,480.74,85000.0,14.46,0.0,0.0,6.0,190.3,36.0,1478.0,11.0,11725.53
6495,6583814,0,4,2,27,10000.0,10000.0,15.22,347.74,60000.0,9.56,0.0,0.0,10.0,263.3,36.0,8305.0,17.0,8393.75
6496,6594813,5,0,3,3,5000.0,5000.0,6.03,152.18,55000.0,1.49,0.0,0.0,11.0,494.3,36.0,1840.0,23.0,3757.27
6497,6595233,5,0,8,27,23500.0,23500.0,24.89,688.25,70000.0,20.79,0.0,0.0,19.0,265.2,60.0,13651.0,33.0,22232.04
6498,6595634,1,4,2,28,11000.0,11000.0,17.56,395.26,48000.0,5.6,0.0,28.0,3.0,222.2,36.0,4040.0,8.0,9544.71
6499,6596058,5,4,2,30,10000.0,10000.0,9.71,211.05,40364.0,19.5,0.0,0.0,10.0,376.2,60.0,7719.0,14.0,9206.22
6500,6596505,1,4,1,39,15000.0,15000.0,14.33,351.6,45000.0,11.76,0.0,0.0,11.0,309.2,60.0,13541.0,12.0,13936.12
6501,6597422,6,0,2,32,6075.0,6075.0,13.05,204.84,21000.0,24.51,0.0,0.0,4.0,278.1,36.0,3981.0,11.0,5220.68
6502,6604604,3,4,2,28,10000.0,10000.0,18.25,362.78,45000.0,18.27,0.0,0.0,9.0,229.3,36.0,11015.0,16.0,8459.83
6503,6605171,0,0,2,9,15150.0,15150.0,11.55,499.95,60000.0,0.0,0.0,0.0,1.0,392.2,36.0,0.0,4.0,12976.91
6504,6605566,6,0,2,22,10000.0,10000.0,10.64,325.69,31200.0,8.89,0.0,81.0,6.0,263.2,36.0,8762.0,16.0,8548.01
6505,6606063,2,3,2,25,14025.0,14025.0,12.35,468.18,49000.0,18.0,0.0,0.0,11.0,283.2,36.0,9004.0,20.0,11616.66
6507,6606915,9,4,2,7,8000.0,8000.0,18.25,290.23,74000.0,24.79,7.0,14.0,10.0,248.2,36.0,4404.0,32.0,6952.1
6510,6614619,2,3,0,25,10000.0,10000.0,11.55,330.0,95000.0,6.9,0.0,38.0,7.0,341.3,36.0,9215.0,24.0,8563.32
6511,6615584,8,0,1,17,16800.0,16800.0,10.64,547.16,121000.0,13.03,0.0,36.0,13.0,282.2,36.0,21780.0,45.0,13940.92
6512,6616098,10,4,2,31,8000.0,8000.0,18.25,290.23,66625.0,14.16,0.0,0.0,7.0,290.2,36.0,5994.0,20.0,6949.38
6513,6616514,1,0,2,34,16750.0,16750.0,11.55,552.75,62000.0,14.55,0.0,0.0,9.0,265.2,36.0,9163.0,12.0,14343.55
6514,6616863,4,4,1,28,28000.0,28000.0,14.33,961.47,128000.0,15.34,0.0,0.0,10.0,341.9,36.0,22659.0,29.0,24124.31
6515,6617207,10,4,2,28,20000.0,20000.0,12.35,667.64,55000.0,24.05,0.0,54.0,15.0,222.1,36.0,21623.0,25.0,17160.8
6516,6617653,1,4,1,25,12000.0,12000.0,18.85,438.97,78000.0,13.98,2.0,10.0,19.0,240.2,36.0,9966.0,27.0,10440.26
6517,6624652,1,0,1,39,18000.0,18000.0,16.78,445.22,103500.0,20.34,0.0,60.0,15.0,327.9,60.0,10286.0,24.0,16797.79
6518,6625098,5,4,1,29,12400.0,12400.0,12.35,413.94,93370.0,14.3,1.0,20.0,16.0,246.3,36.0,9592.0,24.0,10640.23
6519,6625619,1,4,2,28,10625.0,10625.0,7.62,331.09,32000.0,15.33,2.0,22.0,20.0,290.2,36.0,2775.0,43.0,9022.41
6520,6626095,3,4,1,28,16000.0,16000.0,17.56,574.92,70000.0,2.47,0.0,0.0,2.0,237.2,36.0,5631.0,4.0,13882.4
6521,6626543,5,0,2,1,9750.0,9750.0,13.68,331.72,53700.0,34.23,0.0,32.0,10.0,269.2,36.0,9567.0,26.0,8388.57
6523,6627244,1,0,2,37,32000.0,32000.0,12.35,717.5,72000.0,20.83,0.0,0.0,9.0,353.1,60.0,6188.0,37.0,29611.11
6524,6634633,6,4,2,28,13475.0,13475.0,22.4,375.24,85000.0,26.43,0.0,0.0,8.0,341.7,60.0,37606.0,19.0,13096.91
6525,6635342,1,0,2,15,31300.0,31300.0,8.9,993.88,70000.0,22.9,0.0,0.0,13.0,424.2,36.0,42393.0,25.0,25854.41
6526,6635862,5,4,2,27,10200.0,10200.0,17.56,366.51,196000.0,7.42,0.0,28.0,12.0,293.2,36.0,6303.0,43.0,8847.87
6527,6636455,6,0,2,29,20700.0,20700.0,14.33,485.21,75000.0,13.73,0.0,0.0,15.0,249.2,60.0,22565.0,24.0,19228.76
6528,6636914,4,0,2,37,35000.0,35000.0,24.08,1008.51,91000.0,26.27,0.0,0.0,10.0,255.2,60.0,22187.0,32.0,33069.04
6529,6637325,3,0,8,39,27300.0,27300.0,25.83,814.63,86441.0,25.78,0.0,0.0,8.0,420.1,60.0,13203.0,35.0,25863.94
6531,6644795,1,0,1,13,5000.0,5000.0,10.64,162.85,40000.0,4.82,0.0,0.0,7.0,249.3,36.0,6422.0,9.0,4148.61
6532,6645250,6,4,1,32,8000.0,8000.0,17.56,287.46,35000.0,17.31,1.0,19.0,6.0,268.2,36.0,3977.0,22.0,6755.43
6533,6645728,1,0,2,10,10000.0,10000.0,9.71,321.32,60720.0,27.53,1.0,15.0,8.0,316.2,36.0,16037.0,23.0,8277.56
6534,6646174,1,0,1,4,29700.0,29700.0,18.85,1086.44,125000.0,16.95,0.0,0.0,21.0,319.2,36.0,25593.0,38.0,25151.75
6535,6646518,3,0,2,12,13000.0,13000.0,11.55,429.0,48000.0,24.0,0.0,0.0,10.0,274.2,36.0,7728.0,47.0,11134.14
6537,6647263,1,0,11,10,2400.0,2400.0,18.85,87.8,82000.0,11.52,0.0,0.0,8.0,255.1,36.0,11519.0,16.0,2087.35
6539,6654881,1,3,1,9,18000.0,18000.0,8.9,372.78,40000.0,23.88,0.0,0.0,16.0,334.1,60.0,9609.0,34.0,16543.99
6540,6694771,1,0,2,41,20375.0,20375.0,8.9,646.98,90000.0,28.2,0.0,0.0,14.0,410.1,36.0,40127.0,35.0,17344.09
6541,6695102,8,4,1,17,12000.0,12000.0,10.64,258.76,55000.0,28.67,0.0,52.0,25.0,462.1,60.0,25047.0,48.0,11065.33
6542,6695545,1,4,1,4,35000.0,35000.0,17.56,1257.63,150000.0,19.79,1.0,22.0,5.0,420.1,36.0,35184.0,10.0,30360.36
6543,6695962,3,4,2,4,6000.0,6000.0,17.56,215.6,36000.0,9.63,0.0,0.0,8.0,181.1,36.0,5547.0,8.0,5204.93
6544,6696414,0,4,2,4,7875.0,7875.0,16.78,279.91,24000.0,28.23,0.0,0.0,13.0,199.1,36.0,9432.0,13.0,6822.61
6545,6697005,9,3,2,15,24000.0,24000.0,24.5,697.42,200000.0,14.18,0.0,75.0,11.0,335.1,60.0,47537.0,22.0,22696.38
6546,6698065,1,4,8,39,5000.0,5000.0,18.85,182.91,40000.0,33.99,0.0,0.0,8.0,351.8,36.0,27400.0,15.0,4348.68
6547,6698399,8,0,5,10,1000.0,1000.0,17.56,35.94,97200.0,27.53,0.0,46.0,8.0,390.0,36.0,45410.0,25.0,867.58
6550,6699908,11,4,2,18,3825.0,3825.0,10.64,124.58,13596.0,24.8,0.0,0.0,3.0,229.1,36.0,6661.0,7.0,3364.56
6551,6704758,5,3,2,4,5500.0,5500.0,15.22,191.26,20000.0,16.14,0.0,0.0,5.0,194.1,36.0,9496.0,6.0,4751.98
6553,6706061,1,0,2,12,12000.0,12000.0,16.78,296.82,123000.0,14.45,0.0,0.0,11.0,511.1,60.0,18353.0,44.0,11198.31
6554,6706526,5,0,3,1,35000.0,35000.0,15.22,836.7,102600.0,11.67,0.0,0.0,13.0,338.0,60.0,3073.0,36.0,32567.53
6555,6707017,2,4,2,4,7200.0,7200.0,11.55,237.6,66000.0,13.16,0.0,0.0,9.0,425.1,36.0,9873.0,11.0,6165.59
6556,6707472,0,4,8,25,2100.0,2100.0,19.52,77.54,35000.0,9.58,0.0,0.0,7.0,208.9,36.0,283.0,9.0,1829.01
6557,6707965,1,0,1,37,10000.0,10000.0,10.64,325.69,70000.0,29.86,0.0,0.0,11.0,377.7,36.0,17855.0,27.0,9041.2
6558,6708420,1,3,2,4,12000.0,12000.0,7.9,375.49,56000.0,9.02,0.0,0.0,15.0,294.9,36.0,17414.0,31.0,10191.52
6559,6708853,3,3,2,29,5500.0,5500.0,13.05,185.45,50000.0,7.2,0.0,24.0,5.0,253.9,36.0,903.0,14.0,4726.01
6560,6709330,1,0,1,4,15000.0,15000.0,15.88,363.82,68590.0,4.41,2.0,6.0,6.0,451.9,60.0,3986.0,22.0,13977.02
6562,6710240,11,4,1,3,7750.0,7750.0,15.22,269.5,24000.0,15.75,0.0,0.0,4.0,189.9,36.0,12019.0,5.0,6695.75
6564,6715387,7,4,8,28,6000.0,6000.0,24.5,174.36,67000.0,21.99,1.0,12.0,9.0,301.1,60.0,10508.0,16.0,5673.95
6565,6715855,0,0,2,4,20000.0,20000.0,15.88,485.09,67000.0,23.61,0.0,0.0,9.0,568.1,60.0,15607.0,19.0,18637.04
6566,6716352,7,4,2,5,12375.0,12375.0,22.7,346.73,50000.0,14.08,0.0,0.0,7.0,249.1,60.0,6294.0,14.0,11666.67
6567,6716695,6,0,2,38,35000.0,35000.0,26.06,1049.17,120000.0,16.03,0.0,74.0,10.0,267.0,60.0,17719.0,46.0,33810.86
6569,6717607,11,0,2,9,8000.0,8000.0,12.35,267.06,24000.0,25.16,0.0,53.0,7.0,364.0,36.0,7293.0,13.0,6863.84
6570,6718117,0,4,2,4,12000.0,12000.0,11.55,396.0,120000.0,5.75,0.0,61.0,6.0,262.0,36.0,4574.0,11.0,10277.37
6571,6718632,1,0,1,9,21000.0,21000.0,10.64,683.94,125000.0,21.32,1.0,18.0,9.0,391.9,36.0,38377.0,21.0,17948.89
6572,6719098,1,0,2,4,24000.0,24000.0,22.2,665.59,92000.0,5.99,0.0,0.0,7.0,377.9,60.0,14177.0,22.0,22607.43
6573,6719692,5,4,3,4,10625.0,10625.0,16.78,262.81,74009.0,1.23,0.0,67.0,10.0,250.9,60.0,2083.0,18.0,9915.16
6574,6719982,7,0,1,26,10075.0,10075.0,13.68,232.76,50000.0,31.03,0.0,0.0,5.0,303.9,60.0,27099.0,15.0,9348.98
6575,6724744,5,0,3,4,20000.0,20000.0,11.55,440.36,72000.0,11.33,0.0,0.0,9.0,206.1,60.0,9967.0,11.0,18477.15
6576,6725196,2,4,1,28,10550.0,10550.0,11.55,348.15,45000.0,15.87,0.0,0.0,14.0,235.1,36.0,8668.0,32.0,9036.34
6577,6725658,1,0,2,37,9750.0,9750.0,10.64,317.55,42000.0,29.17,0.0,55.0,18.0,310.1,36.0,20322.0,43.0,8334.75
6578,6726090,10,4,8,25,10000.0,10000.0,13.68,340.23,156000.0,5.97,0.0,0.0,5.0,305.1,36.0,156.0,22.0,8603.42
6579,6726585,10,4,2,6,12000.0,12000.0,14.33,412.06,111000.0,12.53,0.0,0.0,15.0,387.8,36.0,31312.0,25.0,10340.82
6580,6727050,5,0,8,16,22050.0,22050.0,16.78,545.4,70000.0,1.07,0.0,0.0,6.0,363.0,60.0,1806.0,7.0,20579.12
6581,6727536,8,4,2,9,16000.0,16000.0,23.5,455.66,60000.0,23.1,0.0,53.0,8.0,440.0,60.0,21393.0,41.0,15103.97
6582,6727993,7,4,1,28,18000.0,18000.0,10.64,586.24,60000.0,11.64,0.0,0.0,25.0,313.0,36.0,16705.0,45.0,15387.61
6583,6728326,3,0,2,4,16200.0,16200.0,9.71,520.53,153000.0,19.26,0.0,0.0,14.0,453.0,36.0,28866.0,39.0,13819.21
6584,6728838,11,0,2,30,3000.0,3000.0,10.64,97.71,52000.0,22.57,0.0,0.0,10.0,274.9,36.0,17432.0,23.0,2247.31
6585,6729315,6,4,2,4,19750.0,19750.0,13.68,671.95,45000.0,33.72,1.0,13.0,20.0,210.9,36.0,14540.0,32.0,16991.86
6586,6729691,11,0,1,4,12000.0,12000.0,14.33,412.06,72000.0,20.82,0.0,0.0,10.0,644.9,36.0,31132.0,34.0,10338.61
6587,6734638,3,4,2,34,6400.0,6400.0,6.62,196.51,36000.0,13.54,1.0,17.0,14.0,235.1,36.0,6431.0,19.0,5422.24
6588,6735071,2,0,1,3,14000.0,14000.0,8.9,444.55,42000.0,15.49,0.0,0.0,10.0,291.1,36.0,13171.0,20.0,11917.42
6589,6735597,2,0,3,37,10000.0,10000.0,11.55,330.0,122500.0,17.94,0.0,29.0,17.0,362.1,36.0,20816.0,31.0,8564.88
6590,6735983,4,4,2,14,12000.0,12000.0,14.33,412.06,38400.0,20.37,0.0,0.0,5.0,171.1,36.0,5015.0,6.0,10343.04
6591,6736460,7,4,6,4,1000.0,1000.0,21.15,37.76,91000.0,13.03,0.0,0.0,7.0,249.1,36.0,12143.0,24.0,873.94
6592,6736858,2,4,1,9,10000.0,10000.0,16.78,355.44,35556.0,26.53,0.0,0.0,9.0,546.9,36.0,12965.0,13.0,8662.62
6593,6737643,6,0,5,4,12000.0,12000.0,6.03,365.23,70000.0,15.41,0.0,0.0,9.0,324.0,36.0,10180.0,17.0,10147.69
6594,6738061,4,4,10,12,3000.0,3000.0,13.68,102.07,68000.0,7.58,0.0,0.0,15.0,233.0,36.0,5759.0,17.0,2581.0
6595,6738530,1,0,1,42,6000.0,6000.0,9.71,192.79,70000.0,7.59,0.0,0.0,11.0,267.8,36.0,5059.0,22.0,5116.86
6596,6738885,4,0,2,25,4800.0,4800.0,21.15,181.22,60000.0,22.4,0.0,27.0,9.0,266.9,36.0,4363.0,20.0,4194.13
6597,6739769,1,0,2,41,28000.0,28000.0,10.64,603.78,67000.0,15.81,0.0,0.0,13.0,308.9,60.0,38142.0,34.0,25826.9
6598,6744916,1,4,1,41,22000.0,22000.0,21.15,597.04,56400.0,19.38,0.0,0.0,7.0,398.8,60.0,10903.0,34.0,20687.61
6599,6764602,2,0,2,17,9600.0,9600.0,18.85,351.18,49064.0,24.04,0.0,52.0,19.0,207.9,36.0,8502.0,25.0,8350.64
6600,6765061,8,0,2,23,35000.0,35000.0,15.22,1217.07,110000.0,26.24,0.0,35.0,17.0,359.9,36.0,67539.0,48.0,30211.59
6601,6765522,2,4,2,37,7200.0,7200.0,14.33,247.24,60000.0,13.5,1.0,12.0,14.0,233.9,36.0,12303.0,24.0,6206.96
6602,6784893,1,0,2,28,5300.0,5300.0,12.35,176.93,30867.2,17.61,0.0,0.0,10.0,257.9,36.0,3659.0,16.0,1388.96
6603,6785364,8,0,2,31,24000.0,24000.0,15.88,582.11,65000.0,26.25,0.0,0.0,11.0,329.9,60.0,10524.0,21.0,22363.7
6604,6785938,1,0,2,28,10000.0,10000.0,10.64,325.69,170000.0,9.96,0.0,0.0,6.0,215.9,36.0,47027.0,10.0,8545.96
6605,6786963,1,0,2,18,20000.0,20000.0,14.33,468.8,75000.0,14.98,0.0,0.0,9.0,289.8,60.0,29274.0,22.0,18578.35
6606,6787364,0,0,2,5,13600.0,13600.0,8.9,431.85,56500.0,10.1,1.0,8.0,12.0,254.8,36.0,9546.0,27.0,11578.35
6607,6787943,1,0,2,20,12000.0,12000.0,9.71,385.58,50000.0,12.74,1.0,20.0,9.0,290.7,36.0,15812.0,15.0,10235.97
6608,6788385,5,0,2,3,19500.0,19500.0,11.55,643.5,54000.0,13.58,0.0,0.0,7.0,267.7,36.0,9828.0,21.0,17179.57
6609,6788907,1,4,8,17,16000.0,16000.0,15.88,561.57,95000.0,3.08,0.0,75.0,7.0,358.7,36.0,62690.0,13.0,9724.42
